,corpus
0,get due date work well alarm say good product easi instal nice
1,sure problem replac solder batteri ipod work new touchscreen seem confus line origin touch screen part number end replac part end touch screen motherboard yet everyth els seem work restart factori reset noth help br otherwis qualiti appear fine ship fine
2,charger work iphon work ipod phone pleas send one work phone
3,good concept howev loud enough sound low cushion also hard hear two stori home make sure tv look
4,use mani time broke broke br even worth return product went directli trash br see peopl say work must type lotteri game br would probabl purchas bunch one decent charger cabl
5,radio part work would like replac possibl would buy question
6,bought bulb hope would fit toyota tacoma dont fit right dont sink enough socket allow turn snug
7,pretti good noth fanci
8,expect good review week gone alreadi iphon say accesori support connect show comput even transfer photo dissapoint
9,would like echo major neg thing alreadi state head unit br continu issu iphon connect br screen dim much turn head light br firmwar updat br applic buggi br connect ipod crash error br touch screen feel antiqu poorli configur
10,product terribl wast money difficult put first one taken thrown get air bubbl better luck second one feel strang make touch screen much difficult manag also make screen blurri graini look mute color would recommend product go look replac product disappoint wish amazon would refund money
11,usual write review experi particular product gave reason give warn product fri tablet luckili tablet recov hate previou review sd card reader usb slot dock dead also usb cabl short usabl stick oem make due without car charger asu make one br br pleas note tf model tf warn made purchas amazon br br upat april tri two differ keyboard dock sd card reader usb port activ either one charger short someth tablet go take loss let happen read review br br updat rma tablet still wait come seller refund quickli surpris quick respons
12,although product price good took realli long time get case ipod also inord properli appli put littl muscl overal pretti cute
13,wasnt work properli instal expect littl price sold
14,set flush jvc trim plate fit wire help lot place onlin better help wire
15,buy iphon gp sensor replac nike sensor make total unneccessari purchas prior own iphon reason still use ipod save batteri iphon go problem much longer either
16,work intend thought bigger one
17,plastic case cover button point hard click took scissor case make incis button easier click
18,pic site constradict pic show loop hold place rest show someth complet differ descript say loop go pic descript also claim made genuin leather highli doubt price also www amazon ca site show exact thing without pic loop say made synthet materi know believ buy somewher els br br top thought would ask chat amazon com person said retail inform excus hear right love amazon disappoint
19,product ship fast got flimsi well built use time mayb time total broke complet fm transmitt part never realli work right unless ipod sit inch reciev sometim actual stick ipod tape deck part hold close enough radio get recept charger part nice though alway charg batteri well guess summar product cheapli made broke use fm transmitt part never realli work charger part work well say without reserv bought thing within week back squar one fm transmitt
20,charg last long good sound
21,first time receiv product remot control work email seller replac within day pretti good custom servic get remot player work fine month power even turn email seller honestli want product replac unit light good way feel cheap get hot realli fast cumbersom navig around menu look reliabl durabl long last product would recommend look elsewher
22,idea size imag justic thing small pouch size w x h x l br look see cellphon would fit sadli even close
23,nd one bought love first one mom got kindl hate cover gave mine order new one one nice seem forgotten magnet closur put wimpi one first one could flip around help hold open one bare seem keep close
24,ok first want upload music rd time connect start work time time play music ad storag
25,case fit ipod touch good bottom part headphon charger goe loos move around lot like probabl go buy differ one think one goe around bottom home button would better
26,work well add extra glue heat take base led apart
27,read mani review case saw mention littl tab broke easili tri put piec togeth even still fit well mayb even better expect break think case would still work nope much wouldnt wast time money
28,product ok issu pair iphon work alpin advertis read blog forum
29,honestli know would trust swim devic close system seem secur seen howev use devic cano go place chanc devic get wet bag waterproof dont know trust long length time
30,bought product e mail seller clear product detail review type devic case want buy ipod touch th gener review said fit iphon want make sure would definit fit ipod fit still pop slip corner easili would like case better hard rubber
31,tri set sort way still remain innacur work well standard fit depth sounder boat
32,major difficulti read eputb book librari one reason bought instead kindl could read non kobo book librari free matter screen hard freez everi page read book purchas kobo delay still happen bad frequent epbub book replac problem keep occur serious regret buy reader would recommend
33,dead box ziplock bag actual hear larg compon rattl around insid glad check extern batteri voltmet ran wire dash fuse panel
34,look cheap mp player came across devic obvious ipod knock number extra featur l decid give shot play mp file fm tuner work abl view photo play mp video file seem extrem odd file format specif descript devic direct provid limit next useless littl could deciph manual read descript amv possibl mtv video format support unfortun cannot find free convert transcod exist video specif format br br other mention interfac great button physic loud navig menu yet tri featur keep play music file
35,would record connect car charger pretti much defeat purpos car cam br work fine batteri power last minut charg abl use camera
36,tv work look use crappi fm transmitt
37,product led believ instruct includ hard figur without instruct disappoint
38,old stori get pay price read blog buy detail issu buy high price unit give better pictur featur money first unit work gave unit wife bought better one would record longer time better pictur gp etc
39,phone cord extrem short make difficult convers drive come black
